,std,share_zero,spearman_vs_target,abs_spearman,vif
log_product_category_diversity^2 loyalty,0.9999999999999943,0.0,-0.38902807974835424,0.38902807974835424,186.4090700609642
log_product_category_diversity loyalty,0.9999999999999939,0.0,0.38902807974835424,0.38902807974835424,1545.5561179151007
log_days_since_first_purchase log_product_category_diversity loyalty,0.999999999999999,0.0,0.381875288624658,0.381875288624658,65595.08790710379
log_total_purchase_count log_days_since_last_purchase log_product_category_diversity,1.0,0.0,-0.381407205887125,0.381407205887125,315005.4394047984
log_days_since_first_purchase log_days_since_last_purchase loyalty,0.999999999999999,0.0,-0.3614155533695108,0.3614155533695108,10928205.465225952
log_average_order_value log_product_category_diversity loyalty,1.0000000000000004,0.0,0.34923099078444664,0.34923099078444664,1117.3558766565368
log_average_order_value log_product_category_diversity^2,0.9999999999999992,0.0,-0.3442134168672149,0.3442134168672149,2754.519794947029
loyalty,0.9999999999999979,0.0,-0.3439817184339854,0.3439817184339854,inf
loyalty^2,0.9999999999999979,0.0,-0.3439817184339854,0.3439817184339854,5078.980606214352
loyalty^3,0.9999999999999979,0.0,-0.3439817184339854,0.3439817184339854,inf
log_days_since_first_purchase^2 log_product_category_diversity,1.0000000000000002,0.0,0.31753844128121816,0.31753844128121816,2276995.033723385
log_average_order_value^2 log_days_since_last_purchase,0.9999999999999997,0.0,0.3133664190885426,0.3133664190885426,227502.59009103783
log_average_order_value log_days_since_last_purchase loyalty,0.9999999999999949,0.0,-0.3091931631426853,0.3091931631426853,196669.08642948966
log_total_purchase_count log_product_category_diversity^2,1.0000000000000007,0.0,0.3051983671677421,0.3051983671677421,2410.714100299141
log_average_order_value log_days_since_last_purchase^2,0.9999999999999997,0.0,-0.29697537766045784,0.29697537766045784,2054230.0317427164
log_days_since_first_purchase^2 loyalty,0.9999999999999984,0.0,-0.29427546687821626,0.29427546687821626,6015806.344638751
log_days_since_first_purchase loyalty,1.0000000000000004,0.0,-0.29427546687821626,0.29427546687821626,412614.639627431
log_days_since_first_purchase loyalty^2,1.0000000000000004,0.0,-0.29427546687821626,0.29427546687821626,inf
log_days_since_first_purchase log_days_since_last_purchase,1.0,0.0,-0.2923097843782934,0.2923097843782934,69335136.00208358
log_days_since_last_purchase^2 flag_invalid_recency,0.9999999999999939,0.0,-0.29060376641501406,0.29060376641501406,54012417.88390067
log_days_since_last_purchase flag_invalid_recency^2,0.9999999999999971,0.0,-0.29060376641501406,0.29060376641501406,inf
log_days_since_last_purchase flag_invalid_recency,0.9999999999999971,0.0,-0.29060376641501406,0.29060376641501406,5480854.819896118
log_days_since_first_purchase log_days_since_last_purchase flag_invalid_recency,1.0,0.0,-0.2903126860257394,0.2903126860257394,105708890.45306121
log_total_purchase_count log_days_since_first_purchase flag_invalid_recency,0.9999999999999929,0.0,0.2902418382681563,0.2902418382681563,2389814.1276732227
log_total_purchase_count log_days_since_last_purchase flag_invalid_recency,0.9999999999999907,0.0,0.29019975223486133,0.29019975223486133,5663680.840484857
log_days_since_first_purchase flag_invalid_recency^2,1.0000000000000016,0.0,-0.28990115857883386,0.28990115857883386,inf
log_days_since_first_purchase^2 flag_invalid_recency,0.9999999999999906,0.0,-0.28990115857883386,0.28990115857883386,13653116.310358237
log_days_since_first_purchase flag_invalid_recency,1.0000000000000016,0.0,-0.28990115857883386,0.28990115857883386,2557113.739732897
log_total_purchase_count flag_invalid_recency,0.9999999999999974,0.0,0.28969804688483247,0.28969804688483247,inf
log_total_purchase_count flag_invalid_recency^2,0.9999999999999974,0.0,0.28969804688483247,0.28969804688483247,161754.60150461714
log_total_purchase_count^2 flag_invalid_recency,1.000000000000009,0.0,-0.28969804688483247,0.28969804688483247,53833.128685374904
log_days_since_last_purchase log_product_category_diversity flag_invalid_recency,1.000000000000003,0.0,0.28931060407258413,0.28931060407258413,149419.6001075155
log_days_since_first_purchase log_product_category_diversity flag_invalid_recency,0.9999999999999936,0.0,0.2893103692829982,0.2893103692829982,70830.6149414259
log_total_purchase_count log_product_category_diversity flag_invalid_recency,1.000000000000007,0.0,-0.2892550763354892,0.2892550763354892,5155.094151050202
log_product_category_diversity^2 flag_invalid_recency,1.0000000000000078,0.0,-0.2886387879695612,0.2886387879695612,328.10174283393957
log_product_category_diversity flag_invalid_recency,0.9999999999999944,0.0,0.2886387879695612,0.2886387879695612,3617.518615049243
log_product_category_diversity flag_invalid_recency^2,0.9999999999999944,0.0,0.2886387879695612,0.2886387879695612,inf
log_total_purchase_count log_average_order_value flag_invalid_recency,1.000000000000006,0.0,0.2886321795637646,0.2886321795637646,89521.26960259458
flag_invalid_recency^3,0.9999999999999989,0.0,-0.28825941935383087,0.28825941935383087,56719.44568511183
flag_invalid_recency^2,0.9999999999999989,0.0,-0.28825941935383087,0.28825941935383087,inf
flag_invalid_recency,0.9999999999999989,0.0,-0.28825941935383087,0.28825941935383087,inf
log_average_order_value log_product_category_diversity flag_invalid_recency,0.999999999999987,0.0,0.2872020761952856,0.2872020761952856,2638.015983248095
log_average_order_value log_days_since_last_purchase flag_invalid_recency,1.0000000000000142,0.0,-0.28695349272108145,0.28695349272108145,3376307.1833393215
log_average_order_value log_days_since_first_purchase flag_invalid_recency,0.999999999999996,0.0,-0.2866789063002251,0.2866789063002251,1589690.5881553686
log_average_order_value flag_invalid_recency^2,1.0000000000000018,0.0,-0.2843608874147956,0.2843608874147956,74852.88267035355
log_average_order_value flag_invalid_recency,1.0000000000000018,0.0,-0.2843608874147956,0.2843608874147956,inf
log_average_order_value^2 flag_invalid_recency,1.0000000000000075,0.0,-0.2843608874147956,0.2843608874147956,14420.917174017339
log_days_since_last_purchase loyalty flag_invalid_recency,0.9999999999999997,0.0,-0.26688193294037404,0.26688193294037404,316699.3973505088
log_days_since_first_purchase loyalty flag_invalid_recency,0.9999999999999926,0.0,-0.2662683950834258,0.2662683950834258,151611.19945943248
